Symbol,Name,,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),,,
TSLA,"Tesla,",Inc.,234.96,-5.49,-2.28%,96.409M,118.512M,746.919B,75.79,,,
MARA,Marathon,Digital,"Holdings,",Inc.,25.73,-0.25,-0.96%,78.213M,57.873M,5.728B,N/A,
NVDA,NVIDIA,Corporation,531.4,8.87,1.70%,76.477M,42.39M,1.313T,70.11,,,
NIO,NIO,Inc.,7.56,-0.37,-4.67%,67.638M,52.018M,15.725B,N/A,,,
AMD,Advanced,Micro,"Devices,",Inc.,149.26,3.08,2.11%,67.599M,57.798M,241.13B,"1,243.83",
F,Ford,Motor,Company,11.84,-0.13,-1.09%,47.958M,54.095M,47.395B,7.74,,
MPW,Medical,Properties,"Trust,",Inc.,3.66,0.27,7.96%,41.626M,18.099M,2.192B,N/A,
LTHM,Arcadium,Lithium,plc,16.51,-1.54,-8.53%,52.055M,9.551M,2.97B,9.17,,
AMZN,"Amazon.com,",Inc.,151.37,2.27,1.52%,43.078M,50.924M,1.564T,79.25,,,
PLTR,Palantir,Technologies,Inc.,16.39,-0.28,-1.68%,35.661M,60.201M,35.664B,234.14,,
AAL,American,Airlines,Group,Inc.,14.38,-0.2,-1.37%,35.594M,36.313M,9.398B,6.02,
SNAP,Snap,Inc.,17.05,-0.26,-1.50%,35.249M,26.773M,28.071B,N/A,,,
AAPL,Apple,Inc.,185.14,-0.42,-0.23%,42.377M,54.297M,2.879T,30.25,,,
HPE,Hewlett,Packard,Enterprise,Company,16.14,-1.58,-8.92%,32.861M,10.785M,20.982B,10.48,
QS,QuantumScape,Corporation,8.53,-0.3,-3.40%,32.466M,8.453M,4.176B,N/A,,,
PFE,Pfizer,Inc.,29.4,-0.18,-0.61%,39.25M,40.62M,166.004B,16.07,,,
BAC,Bank,of,America,Corporation,33.63,-0.53,-1.55%,31.827M,46.398M,266.139B,9.42,
LCID,Lucid,"Group,",Inc.,3.62,-0.18,-4.74%,32.38M,32.76M,8.288B,N/A,,
JNPR,Juniper,"Networks,",Inc.,36.81,6.59,21.81%,30.648M,3.331M,11.738B,32.87,,
U,Unity,Software,Inc.,35.87,-3.11,-7.98%,30.326M,12.161M,13.631B,N/A,,
BBD,Banco,Bradesco,S.A.,3.31,-0.15,-4.34%,28.283M,15.248M,35.226B,13.79,,
SWN,Southwestern,Energy,Company,6.91,-0.01,-0.14%,26.633M,20.447M,7.611B,1.5,,
ITUB,Itaú,Unibanco,Holding,S.A.,6.76,-0.1,-1.46%,25.519M,14.409M,66.273B,10.09,
SOFI,SoFi,"Technologies,",Inc.,8.32,-0.21,-2.46%,25.886M,41.754M,7.977B,N/A,,
PTON,Peloton,"Interactive,",Inc.,6.12,-0.47,-7.13%,24.824M,12.273M,2.206B,N/A,,
T,AT&T,Inc.,16.95,-0.09,-0.54%,30.15M,37.588M,121.193B,N/A,,,
GOOGL,Alphabet,Inc.,140.95,2.11,1.52%,24.725M,29.291M,1.774T,27,,,
INTC,Intel,Corporation,48.05,-0.4,-0.83%,29.936M,39.503M,202.579B,N/A,,,
GRFS,"Grifols,",S.A.,8.7,-2.43,-21.83%,23.778M,"911,158",7.357B,217.5,,,
BCS,Barclays,PLC,7.9,-0.2,-2.47%,22.304M,14.277M,29.93B,4.59,,,
ARDX,"Ardelyx,",Inc.,9.1,0.92,11.25%,22.03M,7.03M,2.112B,N/A,,,
BABA,Alibaba,Group,Holding,Limited,72.02,-0.86,-1.18%,21.26M,18.26M,180.05B,10.1,
NU,Nu,Holdings,Ltd.,8.93,0.04,0.45%,20.977M,25.824M,42.461B,127.57,,
CVS,CVS,Health,Corporation,80.36,-0.32,-0.40%,15.74M,8.317M,103.415B,12.31,,
RIOT,Riot,"Platforms,",Inc.,15.74,-0.27,-1.69%,21.137M,28.426M,3.251B,N/A,,
CSCO,Cisco,"Systems,",Inc.,49.91,-0.55,-1.09%,20.466M,19.244M,202.808B,15.08,,
MSFT,Microsoft,Corporation,375.79,1.1,0.29%,20.56M,26.053M,2.793T,36.48,,,
WBD,Warner,Bros.,"Discovery,",Inc.,11.03,-0.37,-3.25%,19.84M,22.79M,26.897B,N/A,
PLUG,Plug,Power,Inc.,4.2,-0.15,-3.45%,20.466M,36.291M,2.543B,N/A,,
BA,The,Boeing,Company,225.76,-3.24,-1.41%,19.774M,6.465M,136.58B,N/A,,
UBER,Uber,"Technologies,",Inc.,60.3,1.29,2.19%,19.679M,31.162M,124.089B,115.96,,
XOM,Exxon,Mobil,Corporation,99.67,-1.25,-1.24%,19.444M,22.122M,398.358B,9.9,,
DNA,Ginkgo,Bioworks,"Holdings,",Inc.,1.51,-0.05,-3.21%,19.2M,19.637M,3.199B,N/A,
CCL,Carnival,Corporation,&,plc,17.38,0.03,0.17%,20.987M,30.455M,22.703B,N/A,
GOOG,Alphabet,Inc.,142.56,2.03,1.44%,19.295M,22.224M,1.773T,27.36,,,
SLB,Schlumberger,Limited,48.56,-1.76,-3.50%,18.371M,8.815M,69.366B,16.86,,,
KVUE,Kenvue,Inc.,21.85,0.22,1.02%,18.105M,22.255M,41.843B,38.33,,,
MTCH,Match,"Group,",Inc.,39.04,1.15,3.04%,18.1M,6.17M,10.612B,22.06,,
WBA,Walgreens,Boots,"Alliance,",Inc.,25.36,-0.27,-1.05%,17.934M,13.978M,21.87B,38.42,
RIVN,Rivian,"Automotive,",Inc.,19.25,-0.33,-1.69%,18.217M,36.712M,18.436B,N/A,,
CNHI,CNH,Industrial,N.V.,11.95,-0.34,-2.77%,16.408M,13.426M,15.394B,6.91,,
KEY,KeyCorp,14.59,-0.11,-0.75%,15.909M,15.189M,13.66B,11.86,,,,
